@_STATE,@_STATE,USED_30DAYS
1,6754,0.0
2,6406,407.0
4,61996,0.0
5,26610,0.0
6,56148,847.0
8,78416,0.0
9,95292,0.0
10,41390,0.0
11,42548,0.0
12,264708,0.0
13,78728,224.0
15,116310,0.0
16,78304,187.0
17,94265,0.0
18,248922,0.0
19,146281,0.0
20,436860,0.0
21,181482,0.0
22,105798,0.0
23,222916,0.0
24,326112,0.0
25,172800,0.0
26,283114,0.0
27,461565,776.0
28,142128,0.0
29,220429,0.0
30,177450,0.0
31,475850,0.0
32,120448,0.0
33,189783,300.0
34,398446,0.0
35,228830,0.0
36,440964,0.0
37,181892,0.0
38,265696,0.0
39,479271,0.0
40,265520,0.0
41,220170,0.0
42,274764,0.0
44,247808,0.0
45,508995,308.0
46,322552,0.0
47,274621,201.0
48,588240,0.0
49,502299,0.0
50,325800,0.0
51,491130,0.0
53,703787,0.0
54,295488,0.0
55,319550,0.0
56,249928,195.0
66,99528,63.0
72,322920,125.0
