@_STATE,State,pop_unde18
1,Alabama,1089840
2,Alaska,183816
4,Arizona,1642657
5,Arkansas,703180
6,California,8989955
8,Colorado,1265235
9,Connecticut,735193
10,Delaware,203616
11,DC,127494
12,Florida,4229081
13,Georgia,2505751
15,Hawaii,303414
16,Idaho,446972
17,Illinois,2857266
18,Indiana,1568130
19,Iowa,730767
20,Kansas,705961
21,Kentucky,1008829
22,Louisiana,1095916
23,Maine,250404
24,Maryland,1340148
25,Massachusetts,1366858
26,Michigan,2164668
27,Minnesota,1302615
28,Mississippi,706141
29,Missouri,1376830
30,Montana,229434
31,Nebraska,476841
32,Nevada,688997
33,New Hampshire,258170
34,New Jersey,1953643
35,New Mexico,482153
36,New York,4068102
37,North Carolina,2300645
38,North Dakota,178698
39,Ohio,2593325
40,Oklahoma,956486
41,Oregon,873567
42,Pennsylvania,2648911
44,Rhode Island,205213
45,South Carolina,1105945
46,South Dakota,217606
47,Tennessee,1506220
48,Texas,7398099
49,Utah,932462
50,Vermont,115973
51,Virginia,1869792
53,Washington,1663285
54,West Virginia,364160
55,Wisconsin,1276103
56,Wyoming,134775
66,Guam,
72,Puerto Rico,594011
